iter	Accuracy	Logloss
0	0.8125701459	0.687210647
1	0.8136924804	0.6810845182
2	0.8136924804	0.6749128638
3	0.8170594837	0.6689598375
4	0.8181818182	0.6631104849
5	0.8193041526	0.6575935
6	0.8193041526	0.6527919098
7	0.8159371493	0.6485724293
8	0.8170594837	0.6428231826
9	0.8159371493	0.6373468125
10	0.8170594837	0.6325065529
11	0.8148148148	0.6284952074
12	0.8148148148	0.6237843714
13	0.8148148148	0.6196743288
14	0.8136924804	0.6170357862
15	0.8148148148	0.6122920184
16	0.8136924804	0.6081973133
17	0.810325477	0.6039044461
18	0.8114478114	0.6001479061
19	0.810325477	0.5960043623
20	0.810325477	0.5925260918
21	0.810325477	0.5884656874
22	0.810325477	0.5846429602
23	0.810325477	0.5816582267
24	0.810325477	0.5788146614
25	0.8114478114	0.5756617257
26	0.8092031425	0.573697229
27	0.8125701459	0.5699034045
28	0.810325477	0.5680324457
29	0.8136924804	0.5643505138
30	0.8136924804	0.5610932939
31	0.8136924804	0.5582732386
32	0.8136924804	0.5556706442
33	0.8136924804	0.5524532444
34	0.8159371493	0.5483468998
35	0.8170594837	0.5449536002
36	0.8170594837	0.5414244455
37	0.8170594837	0.5390361201
38	0.8159371493	0.5360311727
39	0.8170594837	0.5346142566
40	0.8159371493	0.5318229915
41	0.8159371493	0.5293179573
42	0.8159371493	0.5263174521
43	0.8159371493	0.5238184826
44	0.8159371493	0.5210719153
45	0.8159371493	0.5186115565
46	0.8159371493	0.5160611745
47	0.8159371493	0.5139331163
48	0.8159371493	0.5114667226
49	0.8159371493	0.5103645762
50	0.8148148148	0.5086854
51	0.8159371493	0.5061195899
52	0.8159371493	0.5038901765
53	0.8148148148	0.5014804374
54	0.8148148148	0.5000727055
55	0.8136924804	0.498601806
56	0.8159371493	0.496454693
57	0.8159371493	0.4939117763
58	0.8159371493	0.4915302473
59	0.8148148148	0.490475325
60	0.8159371493	0.4883496162
61	0.8181818182	0.4857441166
62	0.8204264871	0.4840794568
63	0.8193041526	0.4828317741
64	0.8170594837	0.4816700774
65	0.8181818182	0.4803720283
66	0.8204264871	0.4786511827
67	0.8181818182	0.4778645189
68	0.8181818182	0.4760798605
69	0.8181818182	0.4750698898
70	0.8193041526	0.4731249904
71	0.822671156	0.4711320217
72	0.822671156	0.4695979334
73	0.8249158249	0.4676900728
74	0.8237934905	0.466791979
75	0.8249158249	0.4653419339
76	0.8249158249	0.4641574308
77	0.8237934905	0.4633202256
78	0.8237934905	0.4615818754
79	0.8237934905	0.4603732489
80	0.8237934905	0.4590172758
81	0.8249158249	0.4578012096
82	0.8249158249	0.4566303475
